tax	#sample ID	aminoglycoside antibiotic	multidrug	beta-lactamase	MGE	Transposase	MLSB	tetracycline antibiotic	phenicol antibiotic	glycopeptide antibiotic	fluoroquinolone antibiotic	others
Mid_latitudes	M19	0.144380344	0.122190531	0	0.182530423	0.143439215	0.072505975	0.087880775	0.037666313	0.001699851	0.010600148	0.197106425
Mid_latitudes	M20	0.264392532	0.112179572	0.033026808	0.022228726	0.160198051	0.151699288	0.107552762	0.035428587	0.002058419	0.015963122	0.095272133
Mid_latitudes	M21	0.174034535	0.045537768	0.015516966	0.144598751	0.394485245	0.074075274	0.029872151	0.014758349	0.006056753	0.023355189	0.07770902
High_latitudes	H1	0.181628455	0.065717867	0.023250679	0.064000338	0.130206755	0.109081018	0.142607537	0.034250726	0.000814191	0.153727892	0.094714541
High_latitudes	H2	0.180657597	0.084812943	0.034735908	0.026851409	0.089360503	0.076976398	0.096640495	0.026889869	0.363614151	0.007150825	0.012309902
High_latitudes	H3	0.235767605	0.05875695	0.023146706	0.097418446	0.125094442	0.071163471	0.090955562	0.042659476	0.00048678	0.178330063	0.076220499
High_latitudes	H4	0.217713476	0.077434283	0.038234113	0.089309187	0.118079972	0.092534182	0.104459062	0.042399468	0.16658734	0.002315429	0.050933488
High_latitudes	H5	0.193600903	0.056435213	0.022424308	0.079868854	0.156482506	0.126774263	0.165889875	0.056957342	0	0.097256965	0.044309771
High_latitudes	H6	0.265683771	0.049258375	0.034918576	0.04218492	0.159273691	0.134066452	0.180982035	0.055110378	0	0.00825201	0.070269792
High_latitudes	H7	0.235871097	0.107103693	0.041523984	0.122727711	0.168636585	0.081305305	0.077126288	0.006639605	0.000132132	0.003303304	0.155630296
High_latitudes	H8	0.227378855	0.0692623	0.034324676	0.069330917	0.192258803	0.111663898	0.157518059	0.066786471	0	0.007730503	0.063745518
High_latitudes	H9	0.204915719	0.124091806	0.004504519	0.116826091	0.175657465	0.149770539	0.076202044	0.045625461	0.005875037	0.011681543	0.084849775
High_latitudes	H10	0.115478657	0.158297981	0.034680998	0.089067292	0.138341794	0.063591745	0.248946888	0.064654181	0.004950608	0.023092037	0.058897816
High_latitudes	H11	0.250697202	0.09100905	0.017290388	0.08563997	0.174748953	0.049112465	0.148733725	0.052288051	0	0.014825635	0.115654562
High_latitudes	H12	0.208051285	0.096618479	0.003170681	0.040233817	0.228853897	0.102738897	0.107791627	0.098774895	0	0.007316891	0.10644953
High_latitudes	H13	0.304820797	0.115530003	0.005572972	0.074595979	0.104740741	0.077315982	0.138525451	0.039770286	0.005068143	0.006968461	0.127091185
High_latitudes	H14	0.215993095	0.208951695	0.067811263	0.046699027	0.217770672	0.064489074	0.052964691	0.036669144	0.009461235	0.01579679	0.063393312
High_latitudes	H15	0.103962073	0.142439483	0.007386019	0.165197576	0.234633347	0.025502002	0	0.019103816	0.014282638	0.004483575	0.28300947
High_latitudes	H16	0.313903923	0.152199329	0.067871106	0.04870115	0.243453721	0.015109947	0	0	0.006767464	0.0537028	0.09829056
High_latitudes	H17	0.23336918	0.126531664	0.088214389	0.123630007	0.147785657	0.069782847	0	0.008107181	0	0.016180759	0.186398315
High_latitudes	H18	0.167220372	0.200570985	0.095764816	0	0.268510699	0.048085107	0.066326545	0.040934734	0	0.006051416	0.106535326
High_latitudes	H19	0.517339815	0.207674722	0.089362157	0.026292364	0.013532831	0.05769928	0	0.007545806	0.011579842	0	0.068973184
High_latitudes	H20	0.037276245	0.253438507	0	0.193805716	0.099587116	0.167460027	0	0.107383154	0.038169209	0	0.102880026
High_latitudes	H21	0.17762197	0.069252377	0	0.351081549	0	0.052090279	0	0	0.208643895	0	0.14130993
												
												
												
