risky	ARGs	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	ARG Class
Q1	ErmX	0.000151394	0	0	0	0	0	0.016016662	0	0.00921268	0	0	0	0.008022967	0	0.007454594	0	0.001140392	0.001444828	0	0	0	0	0.002073973	0.001036674	0	0	0.000650194	9.96213E-09	0.006213653	0	0.000878153	0.001177235	0.000857135	0.001194131	0.00197748	0.000921041	0.000240307	0.001184241	0.000313686	0	9.14892E-05	0.000826356	0.001256768	0.001205019	0.000324046	0.001357335	0.002408519	0.001754737	0.002994319	0.001804446	0	0	0.002125387	0.002677565	0	0	0	0	0	0	0.002540604	0.008923372	0	MLS
Q1	mdtE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.90194E-05	0	0	0	0	0	0	0	0	0	0.000661205	0	0	0	0	0	0	0	0.000108297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Multidrug
Q1	mdtG	0.000310991	0	0.001329156	0.002316232	0	0.001151259	0	0.003238553	0	0.002493245	0	0.000544597	0	0	0	0	0	0	0	0.005693928	0	0.002008982	0.000521009	0.004407842	0	0.000268559	0	1.87719E-08	0.000177064	0.000169044	0	0.000711594	0.000258446	0.000456647	0.00029531	0	0.00046492	0	0.000227754	0.000773692	8.43935E-05	0	0.000404285	0.000171976	0	0.000807118	0	0.000498491	0.000534057	0	0.000244836	0.001366413	0	0	0	0	0	0	0	0	0	0.004269451	0	fosfomycin
Q1	mdtH	0	0	0	0	0	0	0	0	0	0	0	0	0.000361818	0	0	0	0	0	0	0	0	0.000631758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191781	0.000354417	0	0	0	0	0	0	0	0	0	0	0	0	0	fluoroquinolone antibiotic
Q1	MexA	0	0	0	0	0	0	0	0	0	0	0	0	0.000106267	0	0	0	0	0	0	0	0	0	0	0.00023527	0	0	0	0	0	0	0	0	0	0	0	0.000145462	0	3.49185E-05	0.0001776	0	0.000306055	0	0	0	0	0	0.000266526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Multidrug
Q1	MexB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001088236	0	0	0	0	0	0	0.000193086	0	0	0	0.000366887	0	0	0	0	3.77818E-05	0	0	0.000105424	6.87508E-05	0	0.000135496	0	0	0.00012476	3.01559E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00328919	0	Multidrug
Q1	MexE	0	0	0	0.000302838	0	0	0.002172741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000152847	0	0	0	2.83105E-09	0	0	0	0	0	0	0	0	0	9.13402E-05	9.82012E-05	0	0	0	9.66594E-05	0	6.4221E-05	0	0	9.70407E-05	2.03264E-05	0	0	0	0.000128108	0	0	0	0	0	0	0	0	0	0	Multidrug
Q1	mphA	0.000200106	0	8.86811E-05	0	0	0	0	0.000686828	0	0.002948526	0.000422583	0	9.10202E-05	0	0.000134034	0	0	0	0	0	0	9.56742E-05	0	0	0.000202101	0.000193272	9.73267E-05	0	0	0	0	0	0	0	0	0.000743502	0.000192237	0	0.000688709	0	0.00111782	0	0.000158408	0.00025642	0	0	0.00010944	0	0.000557643	0	0	0	0	0.000690682	0.000315505	0	0	0	0.000659754	0	0	0	0	MLS
Q1	mtrD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002089056	0	0	0	0	0	0.000200444	0.000164427	0	0	0	0	0	9.20083E-05	9.60351E-05	0	0	9.31498E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000102649	0	0	0	0	0	0	0	0.000187114	0.000163388	0	0	0	0	0	0	0.006034677	0	Multidrug
Q1	oqxA	0	0.000908266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38616E-09	0	0	3.45218E-05	0	0	0	0.000158015	0	7.75427E-05	0	0	0	0	0	0	0	0	0	0.000113623	0.000201	7.05097E-05	0	0	0	0	0.000302947	0	0	0	0	0	0	0	0	0	Multidrug
Q1	sul1	0.000611615	0	0.000329147	0.00059128	0.019495618	0.006335925	0.046683564	0.007678705	0.027224317	0.006125055	0.004911103	0	0.038947537	0.004560632	0.017849416	0.005707278	0.005041236	0	0	0	0	0.00031742	0.004442629	0.003570697	0.001628928	0.007394639	0.003845599	1.1037E-07	0.015307914	0.003287237	0.000474003	0.009295848	0.008576478	0.002027734	0.005259725	0.001941489	0.001019291	0.001640004	0.000955994	0.005507544	0.000315494	0.001118709	0.005634495	0.000630002	0.004720902	0.004961226	0.007828346	0.003677435	0.02454042	0.007063907	0.005004008	0.00362485	0.004082047	0.004147391	0	0	0.001165293	0.002581184	0	0	0.002262294	0	0	sulfonamide antibiotic
Q1	sul2	0	0	0.000268431	0	0	0.006039306	0	0	0	0.005042838	0.002747186	0.002660529	0.012675322	0.002509591	0.005376764	0.013959087	0.002502217	0	0	0	0	0.00072871	0.001848247	0.000971894	0.001209531	0.00445609	0.00407084	3.32457E-08	0.002946246	0.000415543	0.001676695	0.003709198	0.003286329	0.002618919	0.002623228	0.001094826	0.00041669	0.000329789	0.000543023	0.001235225	0	0.000269005	0.001279119	0	0.001080244	0.001872846	0.003989303	0.002685808	0.012981922	0.001886466	0.000927413	0.002762924	0.002260013	0.003063762	0.000378099	0	0	0	0	0	0	0	0	sulfonamide antibiotic
Q1	tet32	0	0	0	0	0.004964929	0.039967686	0.008419048	0.009412739	0.004977084	0.002151295	0.000430289	0	0.001777747	0.001870816	0.002551702	0	0.001705631	0	0	0	0.001145983	0.000262937	0.000636639	0.000529609	0.000925256	0.00337924	0.000954483	2.75809E-08	0.029571272	0.003348706	0.001224554	0.000957395	0.01080421	0.001517089	0.006872393	0.002328102	0.003561189	0.001090697	0.000149735	0.000301146	0.000213317	0.000431977	0.004316155	0.001895872	0.002166806	0.002546807	0.009586631	0.004126159	0.001278421	0.005665171	0.001230643	0	0.005425565	0.001281782	0.001456663	0	0	0	0	0	0	0	0	tetracycline antibiotic
Q1	tetM	0	0	0	0	0	0	0.031470888	0	0	0	0	0	0.002552866	0.001720648	0.000540848	0	0	0	0	0	0	0	0	0.00105132	0	0.001626522	0.001051044	1.07824E-08	0.005159647	0.001664175	0.000488179	0.006926965	0.001490116	0	0.002299032	0.000617298	0	5.35096E-05	0.00013316	0.000761954	3.89134E-05	0	0.00143506	0	0.00099583	0.000994523	0.003261452	0.001430715	0.003032871	0.001578592	0	0	0.002449035	0.003701775	0.000527903	0	0	0	0	0	0	0	0	tetracycline antibiotic
Q1	tetO	0	0.001691317	0	0	0.010990514	0	0.007289001	0.005104451	0.001589985	0.004383944	0.000872921	0	0.00173503	0.001053865	0.000278785	0	0.000544243	0.001441568	0.001161114	0	0.002109415	0.000355599	0.000547966	0.000963186	0.000437125	0.001275405	0.000616795	4.51951E-08	0.028753651	0.002822923	6.07813E-05	0	0.010342464	0.001653507	0.011261105	0.003691867	0.002852345	0.000979822	0.000250127	0.000928708	6.54612E-05	0.000472375	0.004954821	0.00322095	0.001380511	0.002203119	0.010891508	0.003019868	0.003592444	0.005791753	0.002842805	0	0.000964251	0.001768182	0.000570335	0.001083578	0	0	0	0	0	0	0	tetracycline antibiotic
Q1	tetQ	0	0	0	0	0	0.00517278	0.008336121	0	0.002077399	0.000970915	0	0.000439627	0.001285071	0.000608993	0.000339174	0.015447706	0.001943046	0	0	0	0.001065393	0.000502543	0.001975759	0.001164054	0.000792987	0.001645951	0.000835118	1.12926E-08	0.001194255	0.001624378	0.000181534	0.002512523	0.005308857	0.002502269	0.001436557	0.000713016	0	0.000532639	0.00034518	0.001266957	0	0	0.001312052	0	0.001401303	0.001884356	0.00788762	0.003310823	0.002343382	0.00355497	0.000601679	0.001287336	0.001191503	0.002307656	0.001582873	0	0	0	0	0	0	0	0	tetracycline antibiotic
Q1	tetW	0	0.007865584	0.000302903	0	0.019581186	0.031121319	0.035439534	0.012148202	0.008391701	0.015108523	0.004209476	0.001102521	0.004673078	0.00257168	0.006863047	0	0.001825736	0.002485885	0.000932397	0	0.006444289	0.00023954	0	0.002668038	0.000504522	0.00537539	0.001207486	1.01647E-07	0.049640255	0.009576372	0.000703446	0.016142842	0.021729013	0.004775579	0.027438035	0.003954977	0.005601238	0.001755549	0.001367329	0.00259409	0.000313679	0.000583542	0.005592384	0.006762714	0.0045115	0.007312452	0.024225124	0.010213039	0.008647389	0.013812427	0.00293404	0.051937495	0.007325091	0.007340793	0.002160499	0.002998935	0	0	0	0	0.003375693	0	0	tetracycline antibiotic
Q1	tetX	0	0	0	0	0	0.003466554	0	0	0	0	0.00033246	0	0.009036391	0.000600944	0.002365794	0	0	0.001524548	0	0	0.001048238	0	0	0.000441916	0.000257521	0.000733873	0.000925001	2.39321E-08	0.001648557	0.000411803	0.000727322	0.000842913	0.001714123	0.00055762	0.000551342	0.000659872	0	0.000362073	7.00137E-05	0.000306005	0	0.000125511	0.000697615	0	0.000493581	0.00072251	0.000800068	0.000461585	0.00400435	0.000962474	0.000727317	0	0.000478536	0.00080206	0.000689561	0	0	0	0	0	0	0	0	tetracycline antibiotic
Q1	tolC	0	0	0	0	0	0	0	0	0	0	0	0	0.000187113	0	0	0	0.000719537	0	0	0	0	0	0	0.00033548	0	0	0	2.52495E-09	0	0	0	0	0	0	0.000868404	0	0	0	0	0	0	8.37176E-05	0	0	0	0	0.000236141	0	0.000319452	0	0	0	0.000458677	0.000314361	0	0	0	0	0	0.006172984	0	0.009592659	0	Multidrug
Q2	AAC(3)-Iic	0	0	0	0	0	0.002197055	0	0	0	0	0	0	0.002549289	0.00025628	0.00237562	0	0	0	0	0	0	0	0.000294137	0.000201092	0.000158993	0.001086208	8.36188E-05	2.6235E-09	0.00017981	0	0.00010182	0	0.000380442	0	0	0.000277316	0	0.000140755	0	0.001026533	6.70141E-05	0	7.79907E-05	0	0.000350078	0	0.00089416	0.000186133	0.001251414	0.000475643	0	0	0	0	0.000675381	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q2	AAC(6')-Im	6.30465E-05	0.001959097	0	0	0.00363993	0	0	0	0	0	0	0.00153981	0	0	0.000245933	0	0	0	0.000984619	0	0.000867176	0	0	0	0.000124711	0	0	1.11583E-09	0	0.000611556	4.20377E-05	0	0	0.000220878	0	0.00011595	0	0	0	0	0.000119666	0.000451968	0	0	5.42728E-05	0	0.000859221	0.000328772	0.000481308	0.000105784	0.001531842	0.001400432	0	0.000722236	0.000422621	0	0.000698469	0.001070321	0	0	0	0.00422617	0	aminoglycoside antibiotic
Q2	aadA	0.000629337	0	0.000176205	0	0	0	0.010604861	0.001531789	0.008928058	0	0.001466699	0	0.022064495	0.001178349	0.005955291	0.005376096	0.001550826	0	0.000293971	0	0	0.000239047	0	0.000529075	0.000385827	0.003616821	0.001760565	2.68615E-08	0.003905108	0.0007382	0.001566805	0	0.003214349	0	0.002678638	0.000564608	0.000632505	0.000428104	0.000901652	0	0.000138383	0.001332309	0.001653587	0.001216133	0.001540278	0.0008882	0.0034142	0.001771862	0.006482955	0.00226442	0.000488776	0	0.006452663	0.002990226	0.000314995	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q2	aadA16	9.04705E-05	0	0.000806226	0	0	0	0	0	0	0.005870783	0	0	0	0	0.001379387	0	0	0.000417508	0	0	0	0	0	0	7.72593E-05	0	0	1.89973E-09	0	0.000414837	0.00015541	0	0.000930563	0	0	6.24643E-05	0	0.000250589	0	0	0	0	0	0	0	0	0	0	0	0	0.00048075	0.002537359	0	0	0	0	0	0	0	0	0	0.010602298	0	aminoglycoside antibiotic
Q2	aadA2	0.0001402	0	0	0	0.037381007	0.022460478	0.042027833	0.005274168	0.028756233	0.005946864	0.002215863	0	0.033813802	0.007530937	0.00722853	0	0.004377468	0.0014145	0.001373131	0.007619948	0.000574245	0	0.001888422	0.000358804	0.00097457	0.006750905	0.002701419	3.62344E-08	0.010253544	0.003658836	0.002096863	0.00122283	0.005857334	0.004258376	0.004212472	0.001346418	0.000799704	0.001775182	6.25299E-05	0.000525552	0.00031358	0.001384752	0.00165377	0.001023524	0.002897203	0.000422358	0.004448924	0.003013138	0.012924745	0.004289671	0.006408509	0	0.003216881	0.003895139	0.000331571	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q2	APH(6)-Ic	0	0	0.000442017	0.000227006	0	0.001349594	0	0.001159351	0	0	0	0	0.000318182	0.000266756	0	0	0.000506191	0	0	0	0	0	0	0.000577918	0	0.000535139	0.00022429	0	0	0	3.3854E-05	0	0	0	0.000569135	0	0	0.000668729	0	0	0	0	0.000548099	0	0	0.000488199	0.000239082	0.000489729	0.000483093	0.000554493	0	0	0.000436338	0	0	0	0	0.001868697	0	0	0	0	0	aminoglycoside antibiotic
Q2	cmx	0.00122299	0	0	0.000428468	0.024914318	0.012844021	0.057686209	0.003207872	0.099403116	0.001380035	0.002977776	0.000364117	0.072082194	0.005045033	0.048871987	0	0.002183439	0.00805512	0	0	0.001779381	0.001572932	0.005434605	0.007261511	0.002629723	0.013376269	0.004024677	3.68109E-08	0.033387892	0.006475257	0.002683972	0.01134261	0.01313028	0.002628597	0.005774575	0.002431101	0.005703455	0.00342767	0	0.00220353	0.000565361	0.000727388	0.004498959	0.003540047	0.006221771	0.006652441	0.016967545	0.005190067	0	0.013138991	0.006002042	0.011067614	0.004744768	0.014848207	0.00092241	0	0	0	0	0	0.005301454	0	0	phenicol antibiotic
Q2	floR	8.82679E-05	0	0	0	0	0	0.005308637	0	0.007032116	0	0.000377119	0	0.013087178	0.001285808	0.005854583	0	0	0.003743536	0	0	0	0	0.000853896	0	0.000385771	0.001894982	0.001842803	0	0.001367452	0.000806711	0.000619627	0	0.002462555	0.00054561	0.001635762	0.00093748	0.00013419	0	0.00018306	0	0	0	0	0	0.000474226	0	0.006274816	0.002183846	0	0.001975691	0.001644599	0.003896673	0.002128825	0.003638296	0.001040066	0	0	0	0	0	0	0	0	phenicol antibiotic
Q2	mdtA	4.9874E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184371	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142733	0	0	0	0	7.21574E-05	0	0	0	0	0	0	0	0	0.000110827	0	0	0.000122181	0	0	0	0	0	0	0	0	0	0	aminocoumarin antibiotic
Q2	mepA	0	0.000736275	0	0	0	0.002798401	0	0	0	0	0	0	0.003338659	0	0.000431763	0.004218296	0	0	0.001247116	0.00559111	0	0	0	0	0	0	0	0	0	0.000162455	0	0	0	0	0	0.000176621	0	0	0	0	0	0	0	0	7.69419E-05	0	0	6.17573E-05	0	0	0	0.003303262	0.000497294	0.000960455	0	0.000654954	0.002124991	0.000713543	0	0	0	0.011913353	0.004819478	tetracycline antibiotic
Q2	msrE	0	0	0	0	0	0.015960004	0	0	0	0	0	0	0.002815581	0	0.002655902	0	0.006949971	0	0	0	0	0.001067124	0	0.000716021	0.001358376	0.001530541	0.013140443	3.64032E-08	0.000393224	0.002094937	0.001683996	0	0.007036926	0.000171154	0.003610755	0.001484229	0.000592588	0.000216951	0.000414268	0.003461362	0	0	0.000725897	0.001113381	0.000187421	0.000865332	0.001417503	0.001210434	0.006755803	0.000866158	0.00221065	0.005646808	0	0.005152986	0	0	0	0	0	0	0	0	0	Multidrug
Q2	optrA	0.00051638	0.014412257	0.000702931	0.001009983	0.027414353	0.034414939	0.015036266	0.009629439	0.020766485	0.011248743	0.001481167	0.005696368	0.005341337	0.001223083	0.004341722	0.055079121	0.00548973	0.013389951	0.005860329	0.01781148	0.003752364	0.001389409	0.005658561	0.002441906	0.001071882	0.002686625	0.000717537	1.97855E-08	0.006003078	0.004687141	0.000826818	0.012256346	0.002804207	0.003174103	0.01418205	0.001619012	0.00238221	0.000688039	0.000676245	0.001595277	0.000441199	0.000473018	0.002224436	0.007467995	0.000857976	0.004154904	0.005703376	0.001768439	0.003376067	0.003994873	0.007468872	0.008341074	0.003490077	0.002982057	0.003368356	0.009835558	0.008729191	0.006038513	0.006698507	0.088817425	0.01491925	0.075561401	0.078614744	Multidrug
Q2	OXA-10	0.000117824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155952	0.000748578	0.00200276	0.001584229	0.006081714	0.004317884	3.45562E-08	0.014283808	0.004098718	0.003120901	0.003209113	0.007117443	0.004339923	0.00362535	0	0	0	0	0	0	0	0.002416785	0.001630955	0.003417386	0.004606828	0.008106418	0.003151882	0.015429576	0.006149389	0	0	0	0.000624694	0	0	0	0	0	0	0	0	0	Beta-lactams
Q2	OXY-1-1	0.000633585	0.011270443	0	0	0.018252149	0	0.013257511	0.007537338	0	0.015715927	0.001400064	0.007180654	0	0	0.001053326	0.023650047	0.003432575	0	0.004333213	0.020814309	0	0.002414766	0	0	0	0.001607556	0.000926484	0	0	0	0.000413699	0.00596814	0	0	0	0.000656535	0.001618196	0	0	0	0.000442347	0.000775452	0.000848252	0.002148221	0	0.001885502	0.000912883	0.001396819	0.001057314	0.001074425	0	0.008026958	0.001977439	0	0	0.006648995	0	0.005330169	0.00693405	0.048570903	0.012402493	0.056003349	0.043564226	Beta-lactams
Q2	SHV-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175893	0	0	0	0	0	0.000272111	0	0	0	0	0	0.000195425	0	0	0	0	0	0	0	0	0	5.16955E-05	0	0.000108824	0.000121269	0.000268027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Beta-lactams
Q2	tetB(P)	0	0	0.000187816	0	0	0.003027638	0	0.002171391	0	0	0	0	0.00150878	0	0.000332394	0	0	0	0	0	0	0	0	0	0	0	7.74046E-05	0	0.001390465	0.000675867	0	0	0.00074802	0	0.000786462	0.000180059	0.000598913	0	6.40102E-05	0	0.00018606	7.54993E-05	0.000423582	0	0.000217712	0	0.000641105	0.000635255	0.000428663	0.000327012	0	0	0.000657561	0	0	0	0	0	0	0	0	0	0	tetracycline antibiotic
Q3	AAC(3)-IV	0	0	0.0001005	0.000252622	0	0	0	0.000735131	0.001151871	0.003008022	0	0.000430155	0.001049956	0	0	0	0	0	0	0	0	0	0.00061037	0.000418825	0	0.000507584	0	0	0.000464191	0	0	0.000389808	0.000137345	0	0	8.35634E-05	0.000768743	8.34267E-05	0.000237824	0	0	0	0	0	0	0	0.002070766	0	0	0	0	0	0	0.001554472	0	0	0	0	0	0	0	0.006995923	0	aminoglycoside antibiotic
Q3	AAC(6')-IIa	0	0	0	0	0	0	0.005741165	0	0.002739038	0	0	0	0.003798105	0.001270402	0.002904176	0	0	0	0	0	0	0	0	0.000181292	9.12229E-05	0.000824964	0.000371346	4.78436E-09	0.001173062	0.000610749	0.000102309	0	0	0.000279821	0	0	0	6.32131E-05	0.000128178	0.000337195	0	0	0.000158494	0	0.000203484	0.000494195	0.001115645	0.000240068	0.001005264	0.000405466	0	0	0.000401599	0.000321405	0	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q3	aadA17	0	0	0.000286311	0	0	0.012498733	0	0	0.002258032	0	0	0.00034216	0	0.000108152	0.005239635	0	0	0	0.001266441	0	0	0.000116482	0	0	0	0	0	0	0.001285444	0.00065712	0.000146187	0.002964538	0.001020375	0.000135229	0.002287152	0.000230322	0.000480298	0	6.5055E-05	0.000746023	0.000109308	5.93864E-05	0.000669006	0	0	0	0	0	0	0	0.002018622	0	0.000883702	0	0.000125111	0	0	0.003279661	0	0	0	0	0	aminoglycoside antibiotic
Q3	adeA	0	0	0	0	0	0	0	0	0	0	0.000482346	0	0	0	0	0	0	0	0	0	0	0	0.000716101	0	0	0	0	0	0	0	0	0	0	0	0	0.000214631	0	0.000162343	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003128175	0	0	0	0	0	0	0	0	0	0	0	tetracycline antibiotic
Q3	APH(3')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0.002734557	0.000686947	0.007861239	0	0	0	0	0	0	0	0	0	0.00077892	0.000190922	0.000276057	0	0.001542972	0.000393004	0	0	0.000359049	0.000737298	0	0	0.000104703	0.000181759	0	0	0	0	0	0	0.00047062	0.0004243	0.001827187	0.000682171	0.001683717	0.000658434	0	0	0	0	0	0	0	0	0	0	0	0	0	aminoglycoside antibiotic
Q3	Bla1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179581	0	0	0.000159945	0	0	0	0	0	0	0	0	0	0	0	0	0	Beta-lactams
Q3	catB3	0.000180817	0	0	0	0	0.002835763	0.005742434	0	0	0	0	0	0.003214748	0.001558698	0.001052526	0	0.001671341	0	0	0	0	0.000166953	0.000269343	0	0.000154731	0.00055114	0.000210357	7.69671E-09	0.000715967	0.000150878	0	0	0.003308651	0.000133316	0.00074863	0	0.000289209	0	0.000127363	0.000355358	0	0.00029878	0.000345435	0	0.000100992	0.000343135	0.000511685	0.000303095	0.001533854	0.000576275	0	0	0	0.00070647	0	0	0	0	0	0	0	0	0	phenicol antibiotic
Q3	ceoA	0	0	0.000272947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.87604E-05	0	0	0	0	0	0	0	0	0	0.000257071	0	5.67715E-05	0	0	9.98925E-05	0	0.000115783	0	0	0	7.77589E-05	0	0	0	2.04773E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Multidrug
Q3	cmlA1	0	0	0	0	0	0	0	0.002519788	0	0	0	0	0.000678135	0	0.000538425	0	0	0	0	0	0	0	0.000593264	0	0	0	0	0	9.48248E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000116135	0	0	0	0.000738914	0.000286951	0.000438753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	phenicol antibiotic
